Hiragana|Romanji|Tiếng Việt|Kanji
のぼります|noborimasu|leo [núi]|登ります
とまります|tomarimasu|trọ [ở khách sạn]|泊まります
そうじします|souji shimasu|dọn vệ sinh|掃除します
せんたくします|sentaku shimasu|giặt|洗濯します
れんしゅうします|renshuu shimasu|luyện tập, thực hành|練習します
なります|narimasu|trở thành, trở nên|
ねむい|nemui|buồn ngủ|眠い
つよい|tsuyoi|mạnh|強い
よわい|yowai|yếu|弱い
ちょうしがいい|choushi ga ii|trong tình trạng tốt|調子がいい
ちょうしがわるい|choushi ga warui|trong tình trạng xấu|調子が悪い
ちょうし|choushi|tình trạng, trạng thái|調子
ゴルフ|gorufu|gôn|
すもう|sumou|vật Sumo|相撲
パチンコ|pachinko|trò chơi Pachinko|
おちゃ|ocha|trà đạo|お茶
ひ|hi|ngày|日
いちど|ichido|một lần|一度
いちども|ichidomo|chưa lần nào|一度も
だんだん|dandan|dần dần|
もうすぐ|mou sugu|sắp|
おかげさまで|okagesama de|cám ơn anh/ chị|
かんぱい|kanpai|nâng cốc!/cạn chén|乾杯
じつは|jitsu wa|thật ra là/sự tình là|実は
ダイエット|daietto|việc ăn kiêng, chế độ giảm cân|
なんかいも|nankai mo|nhiều lần|何回も
しかし|shikashi|nhưng, tuy nhiên|
むり|muri|không thể, quá sức|無理[な]
からだにいい|karada ni ii|tốt cho sức khỏe|体にいい
ケーキ|keeki|bánh ga-tô, bánh ngọt|
